ID,Exited,gender,age,term_deposit,Own_car,Own_property,Geography,credit_score,tenure,balance,Unemployed,Num_children,Account_length,Total_income,credit_card,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5009016,1,Female,39,0,0,1,Spain,591,3,0,0,2,24,216000,1,8.520366606,State servant,Higher education,Married,House / apartment,Other,0
5009027,0,Male,36,0,1,1,Greece,533,7,85311.7,0,0,21,270000,0,29.68712568,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009028,0,Male,41,0,1,1,Netherlands,553,9,110112.54,0,0,17,225000,0,7.603167758,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1
5009031,0,Female,42,0,0,1,Spain,520,6,0,0,0,13,315000,1,3.269060966,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,0
5009033,0,Female,29,0,0,0,Spain,722,9,0,1,0,16,255150,1,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Other,0
5009039,1,Female,45,0,0,1,Greece,475,0,134264.04,0,2,8,157500,1,1.519538389,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0
5009042,0,Male,31,0,0,1,Spain,490,3,145260.23,0,0,20,148500,0,2.433999329,Working,Higher education,Married,House / apartment,Core staff,0
5009050,0,Male,33,0,0,1,Spain,804,7,76548.6,0,2,34,202500,0,6.267069139,Working,Higher education,Married,House / apartment,Core staff,0
5009056,0,Male,36,0,0,1,Greece,850,7,0,0,0,24,202500,1,2.433999329,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,0
5009058,0,Male,41,0,1,1,Netherlands,582,6,70349.48,0,0,0,112500,0,2.182111885,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,0
5009060,0,Male,40,0,0,1,Spain,472,4,0,1,0,3,94500,1,0,Pensioner,Higher education,Married,House / apartment,Other,0
5009062,1,Female,51,0,1,1,Greece,465,8,122522.32,0,0,45,315000,0,5.686632854,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
5009071,0,Female,61,0,1,1,Greece,556,2,117419.35,0,0,20,270000,1,8.687378933,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff,0
5009074,1,Female,49,0,1,1,Greece,834,2,131394.56,0,1,22,450000,0,1.938438161,State servant,Higher education,Married,House / apartment,Core staff,0
5009078,0,Female,61,0,0,1,Spain,660,5,155931.11,0,1,30,180000,1,3.520948411,Working,Secondary / secondary special,Married,With parents,Drivers,0
5009079,0,Female,32,0,0,1,Netherlands,776,4,109421.13,0,0,43,112500,1,8.687378933,Working,Higher education,Civil marriage,House / apartment,Laborers,0
5009083,1,Female,27,0,0,1,Netherlands,829,9,112045.67,0,0,51,90000,1,15.68820715,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009088,1,Female,39,0,1,0,Netherlands,637,9,137843.8,0,2,46,202500,1,8.183604044,Commercial associate,Higher education,Married,House / apartment,Laborers,0
5009090,0,Male,38,0,1,1,Netherlands,550,2,103391.38,0,0,13,247500,0,11.0200757,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009092,0,Female,37,0,1,1,Netherlands,776,2,103769.22,0,1,3,765000,1,3.269060966,Working,Higher education,Married,House / apartment,Managers,1
5009096,0,Male,44,0,0,1,Netherlands,698,10,116363.37,0,1,24,270000,1,12.02214967,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,0
5009099,0,Male,36,0,0,1,Netherlands,585,5,146050.97,0,0,56,315000,0,1.519538389,Working,Higher education,Separated,House / apartment,Managers,0
5009103,0,Female,33,0,1,1,Greece,788,5,0,0,2,38,157500,0,11.10495082,Working,Secondary / secondary special,Married,With parents,Drivers,0
5009108,1,Male,41,0,0,1,Netherlands,655,8,125561.97,0,0,7,360000,0,7.521030548,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,0
5009110,1,Male,42,0,0,1,Netherlands,601,1,98495.72,0,0,3,112500,1,0.854226986,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1
5009116,0,Male,43,0,0,0,Greece,619,1,125211.92,0,0,35,157500,1,1.182775827,Commercial associate,Higher education,Separated,With parents,Other,0
5009133,0,Male,45,0,0,1,Greece,656,5,127864.4,1,0,16,382500,1,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009141,0,Male,19,0,0,0,Netherlands,725,0,75888.2,0,0,33,135000,0,4.271134931,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,0
5009143,1,Female,66,0,1,0,Spain,511,4,0,1,0,11,225000,1,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,1
5009145,0,Male,51,0,1,0,Greece,614,4,40685.92,0,0,36,315000,1,10.18501407,Working,Higher education,Married,House / apartment,Managers,0
5009151,0,Male,35,0,0,0,Netherlands,742,5,136857,0,0,29,180000,0,7.942668227,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009163,0,Female,27,0,0,0,Netherlands,687,9,152328.88,0,0,12,157500,0,8.69011684,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009170,0,Male,33,0,1,0,Spain,555,1,56084.69,1,0,30,144000,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009177,0,Male,56,0,1,0,Spain,684,8,78707.16,0,0,49,229500,1,3.438811201,Working,Incomplete higher,Married,Co-op apartment,Laborers,1
5009186,0,Male,26,0,0,0,Netherlands,603,4,109166.37,0,0,3,270000,1,15.85795738,Working,Higher education,Married,House / apartment,Managers,1
5009195,0,Female,36,0,0,0,Netherlands,751,6,169831.46,0,0,21,292500,1,23.77598445,State servant,Secondary / secondary special,Married,House / apartment,Accountants,0
5009213,0,Female,34,0,0,0,Netherlands,581,1,101633.04,0,0,22,270000,1,2.354600026,Working,Higher education,Married,House / apartment,Accountants,0
5009220,0,Male,43,0,1,0,Netherlands,735,10,123180.01,0,0,27,225000,1,2.184849792,Working,Secondary / secondary special,Married,House / apartment,Managers,0
5009238,0,Female,35,0,1,0,Netherlands,661,5,150725.53,0,0,24,157500,0,2.688624681,Working,Incomplete higher,Married,With parents,Drivers,0
5009242,0,Female,21,0,0,0,Greece,675,8,98373.26,0,0,34,74250,1,14.35484644,Working,Higher education,Separated,Municipal apartment,Core staff,0
5009246,1,Male,58,0,0,0,Netherlands,738,2,133745.44,0,0,31,135000,1,5.856383088,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5009249,0,Male,29,0,1,0,Greece,813,6,0,0,1,26,135000,1,2.521612353,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009255,0,Female,37,0,0,0,Spain,657,0,163607.18,0,0,6,144000,0,24.60557027,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,0
5009260,0,Female,25,0,0,0,Netherlands,604,5,157780.84,0,0,19,202500,1,3.523686318,State servant,Higher education,Married,With parents,Core staff,0
5009264,0,Male,36,0,0,0,Greece,519,9,0,1,0,21,40500,0,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,1
5009265,0,Female,21,0,1,0,Greece,735,1,178718.19,0,0,47,337500,1,4.523022376,State servant,Higher education,Married,With parents,Managers,0
5009270,0,Male,55,0,0,0,Greece,664,8,0,0,0,28,180000,1,6.688706818,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,0
5009278,0,Female,32,0,0,0,Greece,678,9,0,0,0,20,130500,1,13.18576015,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,0
5009295,0,Male,33,0,0,0,Spain,757,5,77253.22,1,0,33,144000,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009297,0,Female,41,0,0,0,Netherlands,416,10,122189.66,0,0,22,193500,1,5.108934475,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,1
5009302,0,Female,34,0,0,0,Greece,665,1,96645.54,1,0,25,112500,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009306,1,Female,32,0,1,0,Greece,777,2,0,1,0,60,135000,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009325,0,Female,36,0,1,0,Greece,543,3,0,0,0,16,267750,0,12.94208642,Working,Higher education,Married,House / apartment,Laborers,0
5009335,0,Female,34,1,0,0,Greece,506,4,90307.62,0,0,9,139500,1,19.43913975,Working,Higher education,Separated,House / apartment,Managers,0
5009338,0,Female,46,0,0,0,Greece,493,4,0,0,0,12,67500,1,14.52185877,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5009340,0,Female,75,0,1,0,Spain,652,10,0,0,0,57,252000,1,6.688706818,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5009349,1,Male,22,1,0,0,Spain,750,3,121681.82,0,0,30,180000,1,0.355927911,Commercial associate,Lower secondary,Married,House / apartment,Drivers,0
5009355,0,Male,30,1,0,0,Greece,729,9,0,0,0,25,135000,1,14.43698365,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009359,1,Female,46,0,1,0,Greece,646,4,0,0,0,15,900000,1,20.27146348,Working,Higher education,Single / not married,House / apartment,Managers,1
5009361,0,Female,28,0,1,0,Netherlands,635,3,81623.67,0,0,47,180000,1,1.604413506,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,0
5009368,1,Female,44,0,1,0,Spain,647,5,0,1,0,40,115290,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009378,0,Male,45,0,0,0,Greece,808,7,118626.55,0,2,39,225000,1,4.77490982,Working,Higher education,Married,House / apartment,Core staff,0
5009379,0,Female,36,0,1,0,Greece,524,10,0,0,1,32,135000,1,3.271798873,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009383,0,Male,29,0,0,0,Greece,769,8,0,0,0,30,450000,1,15.27204528,State servant,Higher education,Married,House / apartment,Managers,0
5009389,0,Male,42,0,0,0,Spain,730,4,0,0,0,21,279000,0,8.69011684,State servant,Higher education,Single / not married,House / apartment,Core staff,1
5009396,0,Male,35,0,0,0,Spain,515,10,176273.95,0,1,55,76500,0,1.355263968,Working,Higher education,Civil marriage,House / apartment,Accountants,0
5009402,0,Male,41,0,0,0,Spain,773,9,102827.44,0,0,7,202500,0,0.689952566,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,0
5009404,0,Male,29,0,0,0,Netherlands,814,8,97086.4,0,2,7,67500,1,1.185513734,Commercial associate,Higher education,Married,House / apartment,Core staff,0
5009405,0,Male,22,0,0,0,Spain,710,8,0,0,0,20,234000,0,6.269807046,Working,Incomplete higher,Married,House / apartment,Drivers,0
5009415,0,Male,34,0,0,0,Greece,413,9,0,0,0,7,90000,0,1.270388851,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1
5009423,0,Female,40,0,0,0,Greece,665,6,0,0,0,9,81000,1,2.773499798,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,0
5009424,0,Female,44,0,0,0,Greece,623,6,0,0,0,38,108000,0,3.605823528,Working,Secondary / secondary special,Single / not married,Co-op apartment,Cooking staff,1
5009426,0,Male,31,0,0,0,Greece,738,9,82674.15,1,0,10,99000,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009428,0,Male,36,0,0,0,Spain,528,7,0,0,0,14,198000,1,3.186923756,Working,Secondary / secondary special,Single / not married,With parents,Laborers,0
5009431,1,Female,65,0,1,0,Spain,670,1,0,0,0,13,360000,1,3.271798873,State servant,Higher education,Married,Municipal apartment,Drivers,0
5009435,1,Female,46,0,0,0,Spain,622,4,107073.27,1,0,23,135000,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009436,0,Male,32,0,0,0,Netherlands,582,1,88938.62,1,0,3,76500,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009441,0,Female,36,0,0,0,Netherlands,785,2,99806.85,0,0,7,90000,0,4.605159586,State servant,Secondary / secondary special,Married,House / apartment,Other,0
5009445,0,Male,33,0,1,0,Spain,605,5,150092.8,0,0,16,270000,0,2.023313278,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Other,1
5009447,1,Male,35,0,1,0,Netherlands,479,9,92833.89,0,0,7,81000,1,9.270553126,Working,Secondary / secondary special,Married,With parents,Drivers,0
5009450,0,Male,30,0,0,0,Netherlands,685,3,90536.81,0,0,31,202500,0,3.690698645,State servant,Higher education,Married,House / apartment,Laborers,0
5009459,0,Male,39,0,0,0,Netherlands,538,7,108055.1,0,0,28,157500,1,27.02314216,Working,Secondary / secondary special,Married,House / apartment,Other,0
5009473,0,Male,42,0,0,0,Greece,562,2,100238.35,0,0,54,180000,0,12.18642409,Commercial associate,Higher education,Married,House / apartment,Other,0
5009484,0,Male,36,0,0,0,Spain,675,9,106190.55,0,0,54,135000,0,2.184849792,Working,Secondary / secondary special,Married,Municipal apartment,Cooking staff,0
5009487,1,Male,28,0,0,0,Netherlands,721,9,154475.54,0,2,58,135000,0,7.85779311,Working,Secondary / secondary special,Married,House / apartment,Other,0
5009490,0,Female,30,0,1,0,Netherlands,628,9,132351.29,0,0,39,135000,1,17.02430577,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009493,0,Female,37,0,1,0,Netherlands,668,6,167864.4,0,0,46,270000,1,3.186923756,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
5009507,0,Female,41,0,0,0,Greece,506,1,0,0,0,11,202500,1,13.52252271,Working,Higher education,Married,House / apartment,Core staff,0
5009512,1,Female,31,0,0,0,Netherlands,524,8,107818.63,0,0,22,157500,1,7.356756128,Working,Incomplete higher,Married,House / apartment,Core staff,0
5009518,0,Male,34,0,1,0,Netherlands,699,4,185173.81,0,2,3,180000,1,5.941258205,Working,Incomplete higher,Married,House / apartment,Laborers,0
5009523,0,Male,34,0,1,0,Greece,828,8,129433.34,0,1,10,112500,0,3.107524453,Working,Secondary / secondary special,Separated,Co-op apartment,Laborers,0
5009526,0,Male,39,0,1,0,Spain,674,6,120193.42,0,0,16,157500,0,2.688624681,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5009536,0,Female,39,0,1,0,Greece,656,6,0,0,0,15,216000,1,2.436737236,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009537,0,Female,48,0,1,0,Netherlands,684,10,126384.42,0,0,56,202500,1,4.77490982,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009543,0,Female,28,0,0,0,Greece,625,3,0,0,0,59,198000,0,26.6891175,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5009562,1,Male,42,0,0,0,Greece,432,9,152603.45,1,0,33,157500,1,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009565,1,Female,52,0,1,0,Greece,549,1,0,0,0,39,180000,0,8.605241723,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009575,1,Male,56,0,1,0,Netherlands,625,0,148507.24,0,0,23,315000,1,2.184849792,Working,Secondary / secondary special,Married,House / apartment,Accountants,0
5009577,0,Female,41,0,0,0,Greece,828,7,0,1,0,23,112500,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009582,0,Male,24,1,0,0,Greece,770,9,101827.07,0,0,40,90000,1,1.856300951,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1
5009585,0,Female,34,0,0,0,Greece,758,3,0,0,0,30,45000,1,2.184849792,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,0
5009590,0,Female,33,0,1,0,Netherlands,795,9,130862.43,0,0,7,225000,1,5.024059358,Working,Secondary / secondary special,Married,House / apartment,Other,0
5009592,0,Male,38,0,0,0,Greece,687,9,122570.87,1,0,17,112500,1,0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,Other,0
5009593,0,Male,25,0,1,0,Greece,686,1,0,0,0,21,144000,0,2.436737236,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5009602,0,Male,39,0,1,0,Netherlands,789,7,124828.46,0,0,42,315000,1,7.523768455,Commercial associate,Higher education,Married,House / apartment,Sales staff,0
5009603,0,Female,50,0,0,0,Netherlands,589,5,144895.05,0,1,37,112500,1,10.18501407,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009607,0,Female,34,0,0,0,Netherlands,461,5,63663.93,0,2,23,144000,0,2.688624681,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5009617,0,Male,40,0,1,0,Greece,637,2,133463.1,1,0,55,225000,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009620,1,Female,48,0,1,0,Spain,584,2,213146.2,0,0,41,135000,1,0.271052794,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009625,1,Female,35,0,0,0,Spain,579,1,129490.36,0,0,41,238500,0,9.024141495,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009631,0,Male,44,0,0,0,Netherlands,756,10,137452.09,0,0,27,112500,1,5.604495643,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009633,0,Male,34,0,1,0,Greece,663,7,0,0,1,23,144000,1,0.774827683,Working,Incomplete higher,Married,House / apartment,Drivers,0
5009636,0,Female,43,0,0,0,Greece,682,5,125851.93,1,0,13,90000,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009642,1,Male,52,0,0,0,Spain,793,2,0,0,0,1,202500,1,2.521612353,Commercial associate,Secondary / secondary special,Single / not married,With parents,Other,0
5009646,1,Female,31,0,0,0,Greece,691,5,40915.55,0,0,15,117000,1,10.02347755,Working,Secondary / secondary special,Single / not married,House / apartment,Low-skill Laborers,0
5009651,0,Female,21,0,0,0,Spain,485,5,113157.22,0,0,60,135000,1,29.94175103,State servant,Secondary / secondary special,Married,House / apartment,Other,0
5009660,0,Female,29,0,0,0,Spain,635,8,138296.94,0,0,40,225000,1,4.85704703,Working,Higher education,Single / not married,House / apartment,Other,0
5009664,0,Male,37,0,0,0,Greece,650,5,106967.18,1,0,27,126000,0,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,1
5009671,0,Male,44,0,0,0,Greece,735,9,120681.63,0,0,8,135000,1,1.185513734,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5009673,0,Male,32,0,0,0,Greece,416,0,0,1,0,30,90000,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009689,0,Female,32,0,0,0,Spain,754,7,0,1,0,43,153000,1,0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5009694,1,Female,48,0,1,0,Greece,535,9,0,0,0,45,1350000,1,4.271134931,Commercial associate,Higher education,Married,Municipal apartment,Managers,1
5009701,0,Male,42,0,0,0,Spain,716,8,0,1,0,3,139500,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009706,0,Male,37,0,0,0,Greece,539,2,127609.59,0,0,4,157500,1,0.94184001,Working,Higher education,Married,House / apartment,Managers,0
5009711,0,Female,43,0,1,0,Greece,614,6,0,0,0,4,135000,1,1.185513734,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,0
5009713,1,Male,57,0,0,0,Spain,706,7,0,0,0,38,180000,1,4.690034703,Working,Secondary / secondary special,Single / not married,House / apartment,Other,1
5009719,0,Female,33,0,0,0,Greece,758,7,0,0,0,23,225000,0,12.18642409,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5009724,0,Female,28,0,0,0,Spain,586,2,0,0,0,41,135000,1,6.773581935,Working,Higher education,Married,House / apartment,Sales staff,0
5009729,0,Female,73,0,1,0,Greece,646,6,97259.25,0,0,4,292500,0,3.605823528,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009732,0,Female,33,0,1,0,Netherlands,631,4,123246.7,0,0,49,270000,0,20.02505185,Commercial associate,Higher education,Married,House / apartment,Managers,0
5009736,0,Female,22,0,1,0,Spain,717,6,101060.25,0,0,34,99000,0,12.02488757,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5009742,0,Male,30,0,0,0,Greece,684,2,0,0,0,14,135000,1,6.773581935,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009745,0,Female,49,0,1,0,Greece,800,7,108007.36,0,0,46,315000,0,1.604413506,Commercial associate,Higher education,Married,House / apartment,Other,1
5009757,0,Female,36,0,1,0,Spain,721,2,0,0,0,26,270000,1,4.605159586,Working,Higher education,Single / not married,House / apartment,Laborers,0
5009762,1,Male,29,0,0,0,Spain,683,0,133702.89,0,0,16,135000,1,8.69011684,Working,Secondary / secondary special,Separated,House / apartment,Laborers,0
5009783,0,Male,31,0,1,0,Netherlands,660,9,125189.75,0,2,28,445500,1,18.68895323,State servant,Higher education,Married,Municipal apartment,Core staff,0
5009785,1,Female,24,0,0,0,Netherlands,704,7,113034.22,1,0,6,198000,1,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009799,0,Female,41,0,1,0,Spain,615,9,109013.23,0,0,57,382500,1,10.85580128,Working,Higher education,Married,House / apartment,Other,0
5009805,1,Female,39,1,0,0,Spain,667,2,0,0,1,9,202500,1,8.942004285,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009819,0,Male,24,0,1,0,Netherlands,682,9,57929.81,0,0,8,99000,0,14.94075854,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0
5009826,0,Female,29,0,0,0,Greece,484,4,130114.39,0,0,25,112500,1,1.023977221,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009831,0,Male,27,0,1,0,Netherlands,628,5,95826.49,0,0,19,166500,1,4.690034703,Working,Higher education,Married,With parents,Core staff,0
5009837,1,Male,44,0,0,0,Netherlands,480,10,129608.57,0,0,43,135000,1,15.27204528,State servant,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,0
5009839,0,Male,30,0,1,0,Greece,578,4,169462.09,0,0,33,202500,1,1.108852338,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5009843,0,Male,40,0,0,0,Greece,512,5,0,0,0,38,81000,1,4.0247233,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,1
5009844,0,Female,35,0,1,0,Spain,484,7,133868.21,0,0,13,180000,1,0.355927911,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5009846,0,Female,30,0,0,0,Greece,510,0,0,0,0,34,225000,1,1.108852338,Commercial associate,Higher education,Civil marriage,House / apartment,Managers,0
5009847,0,Male,36,0,0,0,Netherlands,606,5,190479.48,0,0,31,99000,0,1.856300951,Commercial associate,Higher education,Married,House / apartment,Sales staff,0
5009850,0,Female,40,0,1,0,Spain,597,8,101993.12,0,0,37,360000,0,1.522276296,Commercial associate,Secondary / secondary special,Separated,With parents,Drivers,0
5009864,1,Female,55,0,1,0,Netherlands,754,3,161608.81,0,0,41,225000,1,3.356673991,Working,Higher education,Civil marriage,Rented apartment,Managers,0
5009872,0,Female,45,0,1,0,Spain,850,2,122311.21,0,2,38,427500,1,17.52260484,Commercial associate,Higher education,Married,House / apartment,Managers,0
5009877,0,Male,65,0,0,1,Greece,510,2,0,0,2,7,157500,1,3.523686318,State servant,Higher education,Married,House / apartment,Core staff,0
